year,month,day,day_of_week,date,total_cyclist_injured,total_cyclist_killed,total_motorist_injured,total_motorist_killed,total_pedestrians_injured,total_pedestrians_killed,total_persons_injured,total_persons_killed,total_vehicles_involved,total_collisions,aggressive_driving_road_rage,animals_action,backing_unsafely,driver_inattention_distraction,driver_inexperience,driver_unwell_medical,environmental_defect_failure,failure_to_keep_right,failure_to_yield_right_of_way,following_too_closely,oversized_vehicle,passing_or_lane_usage_improper,pedestrian_bicyclist_other_pedestrian_error_confusion,physical_disability,reaction_to_uninvolved_vehicle,traffic_control_disregarded,turning_improperly,unsafe_speed,vehicle_failure,visual_distraction_obstruction,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,avg_vol
2012,7,1,1,2012-07-01,9,0,127,0,30,0,166,0,1075,538,1,0,22,74,8,62,2,2,16,1,4,0,0,8,2,9,13,1,21,7,83.6,63.0,1008.9,9.7,4.1,9.9,18.1,93.0,66.0,0.0,999.9,0,119.30253623188408
2012,7,2,2,2012-07-02,27,0,118,1,30,0,175,1,1121,564,0,0,17,83,15,57,3,1,25,1,2,0,0,8,0,3,12,1,31,12,80.3,54.1,1011.6,10.0,3.8,15.0,999.9,88.0,66.9,0.0,999.9,0,119.41137538869697
2012,7,3,3,2012-07-03,16,0,158,1,36,0,210,1,1316,664,1,0,23,77,6,82,0,0,25,1,5,1,0,7,3,12,19,0,16,16,79.8,56.7,1012.8,10.0,2.9,12.0,999.9,88.0,63.0,0.0,999.9,0,151.88793955472326
2012,7,4,4,2012-07-04,9,0,127,0,20,0,156,0,866,432,5,1,17,37,13,54,5,0,17,0,1,2,0,11,0,5,10,0,14,13,81.8,65.6,1009.1,9.2,3.6,11.1,999.9,91.0,68.0,0.06,999.9,0,116.74579831932772
2012,7,5,5,2012-07-05,14,0,96,0,28,1,138,1,1209,591,1,0,18,67,10,68,0,1,20,0,6,0,0,8,3,8,16,0,15,7,86.7,64.3,1007.4,9.4,3.8,15.0,999.9,93.9,70.0,99.99,999.9,0,56.303385416666657
2012,7,6,6,2012-07-06,14,0,131,0,34,0,179,0,1286,638,4,0,18,58,9,65,2,1,26,0,5,0,1,9,1,6,14,0,16,17,81.9,62.3,1011.7,10.0,3.1,9.9,999.9,91.0,66.9,0.0,999.9,0,48.116319444444443
2012,7,7,7,2012-07-07,13,0,125,0,27,0,165,0,958,490,0,0,15,55,8,49,0,2,18,1,1,0,0,6,0,6,12,1,16,9,84.9,65.9,1010.1,9.5,3.1,14.0,17.1,95.0,70.0,0.0,999.9,0,38.256944444444443
2012,7,8,1,2012-07-08,11,0,110,0,16,1,137,1,929,464,4,0,7,50,5,57,12,3,23,0,1,0,0,5,0,5,12,1,8,14,80.6,65.5,1010.1,8.5,3.1,8.0,15.9,90.0,70.0,0.59,999.9,0,35.767361111111114
2012,7,9,2,2012-07-09,17,0,109,0,24,0,150,0,1062,533,2,1,16,61,12,54,1,1,24,1,2,2,0,4,1,7,17,1,17,15,78.5,56.8,1012.7,10.0,3.5,9.9,999.9,84.0,68.0,0.09,999.9,0,53.011574074074076
2012,7,10,3,2012-07-10,13,0,94,0,42,1,149,1,1035,524,0,0,17,65,7,50,1,0,15,1,4,0,0,4,0,8,7,0,14,15,76.5,56.3,1016.0,10.0,3.4,9.9,999.9,86.0,61.0,0.0,999.9,0,58.025462962962962
2012,7,11,4,2012-07-11,23,0,115,0,26,0,164,0,1118,565,4,0,17,65,6,57,1,0,22,0,2,0,0,6,1,10,13,0,16,7,77.1,62.0,1019.9,10.0,1.9,7.0,999.9,84.0,64.9,0.0,999.9,0,58.741898148148145
2012,7,12,5,2012-07-12,16,0,107,1,32,0,155,1,1149,577,1,0,25,68,9,54,0,1,31,1,2,0,1,4,0,6,11,1,16,16,77.4,60.2,1021.7,10.0,2.3,7.0,999.9,88.0,57.0,0.0,999.9,0,57.518518518518512
2012,7,13,6,2012-07-13,18,1,117,0,28,0,163,1,1210,603,3,0,12,82,12,74,1,1,28,0,4,0,0,6,4,6,14,1,18,11,78.9,60.7,1021.8,9.9,3.0,7.0,999.9,87.1,63.0,0.0,999.9,0,56.373842592592595
2012,7,14,7,2012-07-14,7,0,137,0,31,2,175,2,1063,536,2,1,14,65,13,83,2,2,18,0,1,0,0,10,1,8,11,1,21,13,78.5,62.7,1021.6,10.0,3.5,13.0,19.0,82.0,68.0,0.0,999.9,1,51.454861111111114
2012,7,15,1,2012-07-15,6,0,129,0,15,0,150,0,984,494,1,0,8,48,7,63,7,1,24,1,3,0,0,5,1,10,10,0,26,7,79.7,68.6,1018.3,9.1,2.8,13.0,999.9,87.1,70.0,0.0,999.9,0,46.592592592592588
2012,7,16,2,2012-07-16,16,0,119,2,23,0,158,2,1045,528,2,0,20,84,5,64,3,0,26,1,8,0,0,8,2,6,19,0,18,18,79.0,67.9,1011.5,9.2,4.0,14.0,22.0,91.0,70.0,0.26,999.9,0,44.694044633456087
2012,7,17,3,2012-07-17,20,0,130,0,33,0,183,0,1283,648,3,0,12,79,8,94,1,1,31,0,5,1,0,5,0,7,12,1,23,15,84.6,63.3,1009.3,9.4,3.5,9.9,18.1,93.9,70.0,0.0,999.9,0,33.461428727967835
2012,7,18,4,2012-07-18,16,1,75,0,25,0,116,1,1106,559,2,0,10,81,6,62,7,1,22,0,3,0,0,8,2,6,16,1,7,7,85.3,69.1,1008.9,7.2,3.7,13.0,20.0,100.0,73.0,0.0,999.9,1,31.835069444444446
2012,7,19,5,2012-07-19,10,0,101,0,34,0,145,0,1061,522,2,0,20,65,8,49,0,2,31,0,3,1,0,6,2,10,10,0,11,14,73.3,67.2,1013.2,7.5,3.4,15.0,18.1,75.9,68.0,1.76,999.9,0,30.538194444444443
2012,7,20,6,2012-07-20,8,0,144,0,23,0,175,0,1229,604,2,1,15,64,11,81,21,2,28,0,3,1,0,8,3,11,14,1,11,15,67.2,62.8,1014.9,7.4,6.5,13.0,21.0,73.9,61.0,0.17,999.9,0,29.236979166666664
2012,7,21,7,2012-07-21,17,0,134,1,25,0,176,1,1061,528,2,1,12,60,7,67,3,1,17,2,2,0,0,15,0,10,7,0,23,15,68.1,58.5,1018.3,9.8,4.1,12.0,999.9,77.0,57.9,0.43,999.9,0,27.744570417145042
2012,7,22,1,2012-07-22,17,0,136,5,25,1,178,6,991,498,1,2,15,49,7,65,1,2,14,0,1,0,0,7,0,7,14,0,24,14,72.5,59.4,1020.3,10.0,2.0,8.0,999.9,82.0,54.0,0.0,999.9,0,23.512019230769234
2012,7,23,2,2012-07-23,9,0,108,0,24,0,141,0,1009,505,0,0,11,51,8,69,7,2,17,0,0,0,0,8,1,5,12,1,12,6,76.0,67.2,1016.9,8.9,3.0,13.0,999.9,86.0,64.0,0.0,999.9,0,37.238203463203462
2012,7,24,3,2012-07-24,12,0,76,0,23,0,111,0,1141,574,1,1,14,77,5,59,4,1,20,1,9,0,0,11,1,4,15,1,24,18,80.3,67.3,1005.4,8.1,6.0,15.0,18.1,90.0,70.0,0.15,999.9,0,37.177845809911965
2012,7,25,4,2012-07-25,18,0,123,0,31,0,172,0,1212,612,1,0,14,86,12,73,3,2,32,1,2,0,1,5,4,6,18,1,18,16,76.5,53.5,1009.7,10.0,4.2,19.0,999.9,84.9,66.9,0.0,999.9,0,36.53921568627451
2012,7,26,5,2012-07-26,21,0,107,0,33,0,161,0,1205,604,4,0,15,69,4,73,4,1,19,1,3,0,0,5,2,9,17,0,17,15,78.0,62.4,1007.0,8.9,4.3,13.0,29.9,87.1,66.9,0.0,999.9,1,35.531862745098039
2012,7,27,6,2012-07-27,14,0,121,0,30,0,165,0,1274,638,3,2,22,91,14,67,2,0,24,0,2,1,0,7,1,10,18,0,20,12,76.6,69.3,1007.0,9.1,4.4,14.0,999.9,87.1,70.0,0.6,999.9,0,20.619046649485295
2012,7,28,7,2012-07-28,16,0,136,1,23,0,175,1,1021,513,1,0,13,72,7,45,7,3,13,1,4,1,0,8,2,7,17,2,18,10,75.5,69.6,1012.2,7.0,3.9,8.0,15.9,84.0,68.0,0.0,999.9,1,41.35
2012,7,29,1,2012-07-29,9,0,82,0,13,0,104,0,753,376,3,0,8,31,4,48,0,0,14,0,1,0,0,7,0,11,7,3,12,5,71.7,66.1,1015.1,9.4,3.2,12.0,15.9,79.0,66.9,0.18,999.9,0,36.3125
2012,7,30,2,2012-07-30,16,1,90,1,34,0,140,2,1037,530,2,0,17,66,16,50,1,0,21,0,1,1,0,10,2,4,6,0,17,17,73.1,65.1,1018.6,10.0,2.2,8.9,999.9,79.0,64.9,0.01,999.9,0,43.061646638056828
2012,7,31,3,2012-07-31,18,0,68,0,37,0,123,0,1065,540,1,1,23,57,11,61,1,1,26,0,3,1,0,5,2,3,12,2,23,12,73.4,64.3,1016.7,10.0,3.8,14.0,999.9,80.1,60.1,0.0,999.9,0,39.145833333333336
2012,8,1,4,2012-08-01,12,0,122,0,16,0,150,0,1247,616,2,1,18,68,11,71,10,0,28,1,4,0,0,6,1,10,16,1,19,11,72.2,68.4,1012.4,7.8,2.5,9.9,999.9,78.1,66.9,0.55,999.9,1,42.600102459016391
2012,8,2,5,2012-08-02,17,0,108,0,31,1,156,1,1123,570,3,0,14,64,11,50,2,0,27,0,2,0,0,4,3,4,20,0,16,17,75.0,68.4,1011.3,6.2,2.7,11.1,999.9,87.1,66.2,0.11,999.9,1,40.255636724386733
2012,8,3,6,2012-08-03,16,0,103,0,26,1,145,1,1156,589,4,0,16,68,12,52,0,2,28,1,6,1,0,9,1,5,21,1,24,11,77.9,70.8,1015.3,6.0,4.4,13.0,18.1,89.1,69.1,0.0,999.9,1,56.087840639704673
2012,8,4,7,2012-08-04,11,0,106,0,29,1,146,1,1118,568,4,0,17,62,7,64,1,2,18,0,1,0,0,7,1,8,18,1,24,8,77.9,71.7,1021.1,5.7,4.1,11.1,18.1,90.0,71.1,0.0,999.9,1,45.330729166666671
2012,8,5,1,2012-08-05,8,0,141,0,24,0,173,0,1031,518,1,0,4,56,7,49,5,1,17,0,0,0,0,13,2,11,7,1,17,13,78.1,72.4,1019.7,5.8,6.1,15.0,22.9,91.0,69.1,0.0,999.9,1,39.918154761904759
2012,8,6,2,2012-08-06,25,0,100,0,25,1,150,1,1186,593,0,0,16,62,7,61,0,2,23,1,4,1,0,11,1,6,8,1,16,13,77.3,66.9,1015.7,8.9,5.5,15.0,22.0,86.0,71.1,0.49,999.9,0,44.747756974847334
2012,8,7,3,2012-08-07,13,0,93,0,37,0,143,0,1075,547,1,1,21,61,13,58,1,1,24,0,5,0,0,9,1,8,10,0,17,9,75.2,58.1,1015.7,10.0,1.2,9.9,999.9,82.9,63.0,0.01,999.9,0,42.202210648148146
2012,8,8,4,2012-08-08,16,0,83,1,34,0,133,1,1043,528,4,0,10,63,7,63,1,1,27,0,5,0,0,5,2,2,16,1,23,8,77.8,67.1,1014.7,8.8,1.1,8.0,999.9,86.0,64.0,0.0,999.9,0,40.796874999999993
2012,8,9,5,2012-08-09,16,0,115,0,32,2,163,2,1140,581,0,0,16,63,11,78,3,0,18,1,3,0,0,10,0,8,9,0,17,9,78.2,69.6,1013.6,9.3,2.3,7.0,15.0,88.0,61.0,0.0,999.9,0,44.367462139045827
2012,8,10,6,2012-08-10,15,0,117,0,33,1,165,1,1234,617,1,0,11,68,10,58,6,0,22,0,4,0,0,4,0,4,20,1,21,9,75.3,71.3,1011.6,7.6,5.4,20.0,23.9,79.0,66.2,0.0,999.9,1,37.971174233582317
2012,8,11,7,2012-08-11,17,0,119,2,19,0,155,2,1027,507,2,0,13,50,9,60,0,0,17,0,3,0,1,9,0,9,8,2,17,8,77.7,71.5,1010.2,7.8,6.9,16.9,28.0,87.1,71.1,1.1,999.9,0,36.682638888888889
2012,8,12,1,2012-08-12,15,0,112,0,23,0,150,0,1026,505,3,0,11,56,5,69,1,2,15,0,0,0,0,5,0,10,7,0,16,7,77.8,65.4,1012.5,8.7,5.7,22.0,29.9,84.9,69.8,0.62,999.9,0,32.235812938314005
2012,8,13,2,2012-08-13,14,0,100,0,28,0,142,0,1002,504,0,0,11,47,14,59,0,1,24,0,4,0,0,6,0,7,11,1,19,10,76.3,61.2,1014.6,9.2,4.3,13.0,999.9,86.0,69.1,0.05,999.9,0,25.803271198830405
2012,8,14,3,2012-08-14,13,0,100,1,29,0,142,1,1032,520,1,0,13,64,3,60,1,1,26,0,7,2,0,5,1,8,14,1,22,7,76.0,62.6,1014.0,9.6,2.3,9.9,999.9,81.0,69.1,0.0,999.9,0,30.995312499999997
2012,8,15,4,2012-08-15,14,0,108,0,29,0,151,0,1208,602,0,0,11,69,5,80,16,1,32,0,3,1,0,9,0,11,13,1,21,22,73.6,68.9,1011.5,6.5,3.5,9.9,999.9,81.0,66.2,0.01,999.9,1,27.359375000000004
2012,8,16,5,2012-08-16,23,0,102,0,29,0,154,0,1218,613,2,0,18,74,10,67,2,0,29,0,2,2,0,9,1,6,12,0,26,13,74.0,64.3,1011.9,6.7,3.1,13.0,15.0,84.9,66.0,0.15,999.9,1,28.658854166666668
2012,8,17,6,2012-08-17,20,0,113,0,32,0,165,0,1156,574,4,0,24,68,7,60,6,2,22,0,1,0,0,7,0,8,27,0,23,12,77.9,60.7,1010.6,9.5,3.3,15.0,17.1,88.0,69.1,0.0,999.9,0,24.42042083662189
2012,8,18,7,2012-08-18,14,0,107,0,28,0,149,0,1059,540,5,0,11,51,11,50,13,0,17,1,1,0,0,11,3,8,7,0,23,13,69.8,63.7,1011.3,8.4,4.1,9.9,999.9,78.1,62.6,0.01,999.9,0,25.081018518518519
2012,8,19,1,2012-08-19,10,0,105,0,31,0,146,0,944,467,2,2,12,53,8,37,2,3,16,1,2,0,0,11,1,11,8,1,22,12,68.7,55.0,1014.2,10.0,1.3,12.0,999.9,75.0,62.1,0.23,999.9,0,22.772662783751493
2012,8,20,2,2012-08-20,16,0,101,0,24,1,141,1,947,473,1,0,16,51,9,38,2,0,24,1,4,0,0,3,1,6,7,0,13,16,71.4,56.7,1012.5,10.0,0.8,9.9,999.9,78.1,64.0,0.0,999.9,0,40.439115418894829
2012,8,21,3,2012-08-21,13,0,92,1,24,1,129,2,969,482,1,0,10,47,9,57,3,1,35,0,0,0,0,6,1,9,3,1,8,10,72.8,57.2,1015.5,10.0,2.5,12.0,999.9,81.0,60.8,0.0,999.9,0,37.372395833333336
2012,8,22,4,2012-08-22,22,0,95,2,28,0,145,2,1013,504,1,0,19,61,8,59,3,0,22,0,3,0,0,5,2,5,19,1,17,10,73.8,60.3,1019.6,9.8,1.7,8.0,999.9,80.1,61.0,0.0,999.9,0,39.309027777777779
2012,8,23,5,2012-08-23,18,0,128,0,31,2,177,2,1159,574,2,0,13,76,6,62,1,0,29,1,3,0,0,10,0,9,14,0,19,13,74.7,61.7,1020.4,8.9,2.0,8.9,999.9,84.0,62.6,0.0,999.9,0,39.846354166666664
2012,8,24,6,2012-08-24,21,0,110,0,19,2,150,2,1208,601,3,0,15,78,7,69,2,0,26,1,4,2,0,6,2,3,21,1,17,20,77.3,60.9,1020.7,9.3,2.0,7.0,999.9,87.1,66.0,0.0,999.9,0,40.872395833333336
2012,8,25,7,2012-08-25,17,0,108,0,21,0,146,0,959,474,1,0,18,58,4,53,2,2,13,1,3,0,0,3,2,3,10,2,13,9,75.7,65.2,1023.6,7.3,3.2,13.0,18.1,84.0,62.6,0.01,999.9,1,34.887152777777771
2012,8,26,1,2012-08-26,12,1,117,0,24,0,153,1,933,471,1,0,8,57,7,51,1,2,14,0,0,0,0,5,0,6,10,0,19,7,73.9,62.4,1025.2,10.0,4.6,8.9,15.0,82.9,60.8,0.0,999.9,0,31.677951388888893
2012,8,27,2,2012-08-27,18,0,121,2,27,1,166,3,1084,548,1,0,17,48,6,52,5,2,25,0,1,2,0,11,0,8,19,1,17,8,71.9,66.3,1019.7,8.6,2.7,8.9,18.1,81.0,55.4,0.01,999.9,1,34.894965277777779
2012,8,28,3,2012-08-28,12,0,103,0,27,0,142,0,1167,587,1,0,11,82,2,65,6,1,23,1,5,0,0,8,3,5,6,0,17,10,77.9,67.4,1011.5,9.0,6.0,15.9,22.9,86.0,69.8,0.75,999.9,0,32.197048611111114
2012,8,29,4,2012-08-29,17,0,96,0,15,0,128,0,1113,550,4,0,19,69,4,76,2,0,16,0,5,0,0,8,1,6,15,0,19,18,73.3,53.2,1014.0,10.0,4.7,15.0,21.0,79.0,64.4,0.01,999.9,0,30.683245305164323
2012,8,30,5,2012-08-30,27,0,114,1,38,0,179,1,1218,618,2,1,23,78,11,82,1,1,26,0,12,0,0,14,2,7,13,0,28,9,72.0,49.4,1017.6,10.0,2.5,15.9,20.0,82.0,57.2,0.0,999.9,0,31.658854166666668
2012,8,31,6,2012-08-31,26,0,154,1,37,1,217,2,1423,701,7,0,22,86,10,73,2,1,35,0,2,0,0,8,3,9,25,0,22,16,78.7,56.1,1016.3,9.9,3.9,20.0,27.0,90.0,68.0,0.0,999.9,0,34.267406798245617
2012,9,1,7,2012-09-01,20,0,106,0,18,0,144,0,1046,515,1,1,13,60,7,69,1,3,23,0,1,0,0,11,2,11,9,1,22,13,81.6,61.3,1014.6,9.9,4.7,16.9,22.9,90.0,62.6,0.0,999.9,0,28.546875
2012,9,2,1,2012-09-02,9,0,118,1,23,0,150,1,827,421,1,0,14,42,9,46,6,3,16,0,0,0,0,10,0,3,11,1,13,10,75.4,65.9,1017.7,9.8,3.2,11.1,999.9,80.1,62.1,0.0,999.9,0,24.1875
2012,9,3,2,2012-09-03,8,0,103,0,14,0,125,0,750,373,2,0,12,45,1,33,10,0,14,0,3,0,0,4,0,3,5,2,17,3,73.8,65.1,1019.8,10.0,4.5,14.0,999.9,79.0,55.4,0.0,999.9,0,21.056423611111111
2012,9,4,3,2012-09-04,12,0,137,0,37,0,186,0,1201,606,2,0,12,69,9,66,23,0,29,0,5,1,0,6,0,6,8,0,12,9,72.6,68.4,1016.8,8.8,4.7,15.9,999.9,79.0,60.8,0.02,999.9,0,30.907433712121211
2012,9,5,4,2012-09-05,17,0,108,0,30,1,155,1,1213,601,0,1,20,62,6,61,12,2,26,0,8,1,0,6,1,3,14,0,9,8,75.2,71.5,1009.7,6.7,5.4,16.9,22.9,80.1,71.1,0.13,999.9,0,21.840807464892826
2012,9,6,5,2012-09-06,10,0,113,0,28,0,151,0,1145,572,4,0,15,70,15,77,1,2,24,0,3,0,1,7,1,16,9,1,14,18,73.2,65.3,1011.3,9.7,2.3,12.0,999.9,79.0,62.6,0.59,999.9,0,50.569394085426715
2012,9,7,6,2012-09-07,18,0,158,0,31,0,207,0,1359,680,4,0,19,87,13,75,4,1,28,0,4,0,0,11,6,6,26,1,25,14,77.0,67.8,1012.2,8.7,2.7,8.0,999.9,86.0,64.4,0.0,999.9,0,75.213171269771578
2012,9,8,7,2012-09-08,19,0,156,0,22,0,197,0,1168,598,1,0,13,72,11,52,13,0,24,2,2,0,0,11,2,8,11,2,26,12,75.3,69.6,1007.5,8.8,5.8,15.9,28.9,81.0,69.1,0.0,999.9,1,60.702870934959336
2012,9,9,1,2012-09-09,13,0,101,0,31,0,145,0,917,464,1,0,9,49,6,48,7,2,14,0,0,1,0,6,0,7,9,1,13,9,68.4,57.3,1009.6,9.5,3.0,16.9,21.0,75.9,60.8,0.04,999.9,0,70.221290650406516
2012,9,10,2,2012-09-10,20,0,117,0,35,1,172,1,1269,637,8,0,18,79,9,80,1,1,19,0,5,1,0,6,1,6,15,0,28,21,65.4,49.1,1014.3,10.0,5.7,20.0,26.0,71.1,55.4,0.16,999.9,0,113.66634727222232
2012,9,11,3,2012-09-11,20,0,79,0,28,0,127,0,1035,521,1,0,14,55,4,71,2,0,14,0,5,0,0,3,1,8,12,0,16,17,62.8,41.8,1022.9,10.0,3.1,18.1,26.0,72.0,54.0,0.0,999.9,0,105.125393081761
2012,9,12,4,2012-09-12,20,0,112,1,22,0,154,1,1308,651,4,0,11,81,13,85,1,1,17,0,3,1,0,7,1,6,12,1,21,17,68.5,49.7,1026.5,10.0,2.1,9.9,999.9,80.1,55.0,0.0,999.9,0,98.767985026041686
2012,9,13,5,2012-09-13,20,0,123,2,29,0,172,2,1247,632,2,1,17,72,7,77,0,1,34,0,4,0,0,12,3,10,16,1,19,19,70.4,54.8,1027.4,10.0,3.2,9.9,999.9,80.1,62.1,0.0,999.9,0,101.47048101987617
2012,9,14,6,2012-09-14,20,0,111,0,34,0,165,0,1216,609,3,1,17,78,12,80,0,0,23,0,7,2,0,5,1,5,20,1,19,21,70.5,57.7,1023.4,9.7,2.3,9.9,999.9,80.1,55.4,0.0,999.9,0,102.89416088761898
2012,9,15,7,2012-09-15,22,0,107,1,26,1,155,2,1121,557,3,0,12,75,14,57,3,4,16,2,2,0,0,10,3,11,9,3,22,13,67.2,54.1,1019.1,10.0,5.1,14.0,20.0,72.0,60.1,0.01,999.9,0,101.13255208333332
2012,9,16,1,2012-09-16,8,0,98,1,19,0,125,1,916,458,0,1,15,46,12,51,0,1,16,0,2,1,0,5,1,5,13,0,19,9,65.1,46.5,1018.9,10.0,1.9,13.0,20.0,73.0,53.6,0.0,999.9,0,92.826183188288454
2012,9,17,2,2012-09-17,12,0,77,1,25,1,114,2,888,452,3,0,9,47,5,52,1,0,8,1,5,0,0,5,2,3,9,0,15,12,66.5,48.0,1018.3,10.0,2.2,7.0,999.9,77.0,48.2,0.0,999.9,0,90.714069164188885
2012,9,18,3,2012-09-18,10,0,120,0,48,1,178,1,1030,556,0,0,8,61,5,53,16,0,25,1,4,0,0,7,2,5,6,1,9,18,70.6,64.8,1011.8,7.6,5.5,19.0,27.0,75.2,57.2,0.11,999.9,1,71.450985863095241
2012,9,19,4,2012-09-19,15,0,115,0,35,0,165,0,1211,612,6,0,15,85,13,76,2,0,27,0,4,1,0,4,2,6,18,0,23,12,66.7,56.1,1015.2,7.6,6.3,21.0,27.0,73.0,57.0,0.68,999.9,0,107.60587776342291
2012,9,20,5,2012-09-20,11,0,95,2,26,1,132,3,1047,522,1,0,18,77,6,70,3,1,28,1,2,1,0,7,0,7,12,0,7,10,61.0,48.3,1021.5,10.0,4.6,15.9,22.9,68.0,55.0,0.04,999.9,0,82.113655170871368
2012,9,21,6,2012-09-21,17,0,138,0,46,1,201,1,1307,654,2,0,13,97,9,86,1,0,42,0,3,1,0,6,0,9,20,0,23,18,64.7,53.7,1018.9,10.0,4.7,16.9,22.0,73.0,51.8,0.0,999.9,0,109.79195751996237
2012,9,22,7,2012-09-22,19,0,107,0,35,1,161,1,1077,547,5,0,19,79,6,64,7,1,28,0,1,0,0,7,1,13,10,0,16,9,66.3,60.6,1012.6,8.1,5.6,15.0,20.0,75.9,60.1,0.01,999.9,0,124.23503100896394
2012,9,23,1,2012-09-23,12,0,106,0,29,0,147,0,945,480,3,0,11,52,10,67,3,4,21,0,2,0,0,7,1,10,4,0,18,13,63.8,50.3,1015.4,9.0,6.4,12.0,15.9,72.0,55.4,0.22,999.9,0,111.17294337606835
2012,9,24,2,2012-09-24,10,0,114,0,27,1,151,1,1106,562,3,0,18,68,10,60,2,1,32,1,4,0,0,9,2,7,10,0,8,20,59.0,40.4,1020.0,10.0,3.3,12.0,20.0,66.2,53.1,0.0,999.9,0,129.14167687079021
2012,9,25,3,2012-09-25,15,1,114,0,51,1,180,2,1166,594,1,0,16,81,11,68,3,0,30,0,3,1,0,4,2,4,12,1,12,15,62.0,43.4,1021.0,10.0,4.9,15.0,15.9,72.0,46.0,0.0,999.9,0,108.81074498465236
2012,9,26,4,2012-09-26,9,0,67,0,28,0,104,0,783,404,1,0,10,44,5,45,4,0,17,0,2,0,0,8,1,6,7,1,10,9,67.7,56.8,1018.7,10.0,4.3,14.0,999.9,75.9,62.6,0.0,999.9,0,121.73189144343289
2012,9,27,5,2012-09-27,16,0,102,1,41,0,159,1,1230,620,3,0,18,61,9,76,8,1,31,0,1,0,0,4,2,9,18,0,18,7,69.0,60.4,1019.4,8.7,1.8,16.9,20.0,73.9,55.4,0.01,999.9,0,111.64266311023705
2012,9,28,6,2012-09-28,14,0,134,1,40,1,188,2,1386,703,2,1,8,79,6,77,26,0,39,1,5,0,0,8,2,10,9,0,22,13,65.2,61.8,1019.8,5.9,5.1,15.9,22.9,69.1,51.8,0.25,999.9,1,111.47684974710135
2012,9,29,7,2012-09-29,11,0,102,1,21,0,134,1,970,485,4,0,13,50,6,48,0,1,26,2,0,0,0,6,0,9,7,0,12,19,62.4,58.8,1013.0,7.6,3.9,14.0,21.0,68.0,57.0,0.37,999.9,1,147.16251756750833
2012,9,30,1,2012-09-30,7,0,124,0,14,2,145,2,914,449,2,0,13,52,8,51,1,0,14,0,0,0,0,4,0,8,8,1,16,10,60.5,52.5,1010.0,9.5,3.9,14.0,20.0,68.0,55.9,0.75,999.9,0,124.14441287878789
2012,10,1,2,2012-10-01,15,1,109,0,38,0,162,1,1091,555,5,0,9,73,11,58,0,1,20,1,3,1,0,7,3,5,15,0,22,16,60.6,46.8,1011.2,10.0,4.7,23.9,33.0,70.0,53.1,0.46,999.9,0,130.09663810439358
2012,10,2,3,2012-10-02,8,0,140,0,43,0,191,0,1164,593,2,1,13,62,8,66,25,1,25,0,5,0,0,6,1,8,16,1,21,12,63.7,54.2,1015.5,7.3,2.4,9.9,999.9,70.0,60.1,0.0,999.9,0,122.35697379637917
2012,10,3,4,2012-10-03,10,0,83,0,27,1,120,1,1000,502,3,0,13,48,4,60,10,1,22,1,4,0,0,5,0,7,12,0,20,12,65.6,64.3,1016.6,1.5,3.5,9.9,999.9,73.0,62.6,0.45,999.9,1,125.33662630926283
2012,10,4,5,2012-10-04,10,0,86,0,24,0,120,0,1095,554,2,0,15,59,8,63,2,2,37,1,5,0,0,11,0,5,13,1,19,11,68.6,66.2,1019.0,2.9,2.2,13.0,999.9,73.4,62.6,0.01,999.9,1,128.22253683085924
2012,10,5,6,2012-10-05,20,0,123,0,46,0,189,0,1383,693,7,0,15,87,15,82,2,0,25,1,9,0,0,5,3,9,16,1,16,13,67.8,59.7,1016.7,8.4,3.3,9.9,999.9,78.1,60.8,0.0,999.9,0,131.98216893483959
2012,10,6,7,2012-10-06,10,0,102,0,20,0,132,0,992,500,4,1,5,62,7,65,3,1,21,0,2,0,0,7,3,5,16,2,13,7,66.1,57.9,1010.5,7.0,5.2,15.0,21.0,75.0,57.0,0.01,999.9,1,123.94226800729338
2012,10,7,1,2012-10-07,6,0,136,0,44,0,186,0,936,481,0,2,5,45,10,52,8,3,22,0,1,1,0,5,2,5,11,0,19,8,52.5,42.3,1017.4,9.3,2.0,16.9,23.9,66.2,48.0,0.04,999.9,0,103.37846268315025
2012,10,8,2,2012-10-08,11,0,91,0,20,0,122,0,749,376,2,0,9,33,2,35,7,0,11,0,2,0,0,4,1,7,8,0,20,6,49.9,42.9,1022.9,9.0,3.5,15.9,23.9,55.9,44.1,0.2,999.9,0,94.096995037695038
2012,10,9,3,2012-10-09,14,0,95,1,33,0,142,1,1124,570,0,0,9,85,18,77,17,2,26,0,1,1,0,9,2,8,9,0,28,6,53.8,48.5,1022.3,8.5,5.6,18.1,26.0,57.2,50.0,0.46,999.9,0,79.470662137428377
2012,10,10,4,2012-10-10,13,0,135,0,39,0,187,0,1252,640,1,0,14,68,10,73,18,0,33,2,2,0,0,9,1,10,13,1,25,18,58.2,53.8,1013.5,7.5,5.2,15.9,22.9,64.9,53.1,0.03,999.9,0,66.687641756844954
2012,10,11,5,2012-10-11,18,0,80,0,47,0,145,0,1294,657,1,0,15,100,7,74,4,0,27,1,5,0,0,12,2,9,18,0,26,17,53.4,35.3,1018.9,10.0,5.5,20.0,28.9,62.6,46.9,0.02,999.9,0,133.05685813178951
