year,month,day,day_of_week,date,total_cyclist_injured,total_cyclist_killed,collisions_w_cyclists_inj_kill,total_motorist_injured,total_motorist_killed,collisions_w_motorists_inj_kill,total_pedestrians_injured,total_pedestrians_killed,collisions_w_pedestrians_inj_kill,total_persons_injured,total_persons_killed,collisions_w_persons_inj_kill,collisions_w_fatalities,total_vehicles_involved,total_collisions,aggressive_driving_road_rage,animals_action,backing_unsafely,driver_inattention_distraction,driver_inexperience,driver_unwell_medical,environmental_defect_failure,failure_to_keep_right,failure_to_yield_right_of_way,following_too_closely,oversized_vehicle,passing_or_lane_usage_improper,pedestrian_bicyclist_other_pedestrian_error_confusion,physical_disability,reaction_to_uninvolved_vehicle,traffic_control_disregarded,turning_improperly,unsafe_speed,vehicle_failure,visual_distraction_obstruction,temp_c,slp_c,visib_c,wdsp_c,prcp_c,fog_c,avg_speed_all
2017,8,11,6,2017-08-11,19,0,18,132,0,86,21,0,20,172,0,124,0,1271,654,4,1,38,191,22,11,7,2,53,78,6,76,7,0,11,4,18,12,24,7,67.6,1021.4,9.3,5.8,0.0,1,23.90281917211329
2017,8,12,7,2017-08-12,21,0,21,111,1,66,25,0,25,157,1,109,1,1014,525,4,0,26,139,19,12,12,0,35,58,0,58,5,1,10,11,14,18,21,7,65.9,1016.4,4.2,5.8,0.07,1,28.174915637860082
2017,8,13,1,2017-08-13,18,0,18,151,0,83,17,0,17,186,0,118,0,1097,562,7,1,29,134,15,17,1,1,45,68,1,59,3,0,16,8,23,9,26,9,71.0,1012.4,6.1,8.3,1.24,1,27.994033950617283
2017,8,14,2,2017-08-14,18,1,19,105,0,67,15,0,15,138,1,101,1,1177,600,6,0,34,148,12,10,2,1,35,62,6,103,8,0,10,18,14,12,31,9,67.7,1016.4,6.1,4.3,0.0,1,27.487319579562346
2017,8,15,3,2017-08-15,11,0,11,126,0,88,22,0,22,159,0,121,0,1111,576,3,0,30,174,5,4,17,2,35,57,7,81,2,0,17,10,13,5,20,11,67.8,1014.6,4.3,4.0,0.0,1,24.276751292627665
2017,8,16,4,2017-08-16,18,0,18,109,0,78,40,2,38,167,2,133,2,1149,600,3,0,30,143,10,7,1,0,39,59,4,100,12,0,9,16,22,11,33,11,71.1,1013.0,6.8,6.5,0.23,1,24.809919753086419
2017,8,17,5,2017-08-17,19,1,20,128,0,88,22,1,23,169,2,130,2,1265,638,3,0,38,157,24,12,1,0,47,80,1,89,8,0,9,9,25,17,39,5,68.0,1016.6,9.1,5.2,0.0,0,23.260049125514403
2017,8,18,6,2017-08-18,8,0,8,131,0,90,19,0,18,158,0,116,0,1187,610,1,0,21,165,11,11,9,1,44,71,4,76,3,0,12,18,13,11,26,12,66.6,1015.2,8.0,8.8,0.0,0,23.420861368312757
2017,8,19,7,2017-08-19,18,0,18,174,2,102,22,0,21,214,2,140,2,1260,637,4,0,48,158,10,24,5,1,43,72,2,95,3,0,12,15,18,19,15,8,71.8,1010.1,5.6,12.2,1.1,1,25.051752314814816
2017,8,20,1,2017-08-20,15,0,15,145,0,88,13,0,12,173,0,115,0,1064,537,5,1,26,144,11,10,2,0,43,66,1,56,7,0,4,19,16,16,27,5,72.8,1014.2,6.3,9.7,1.01,1,25.46422557749387
2017,8,21,2,2017-08-21,20,0,19,122,1,80,25,0,24,167,1,120,1,1207,627,2,1,30,169,12,5,4,0,38,68,6,89,5,0,12,15,23,15,30,8,69.9,1020.4,9.8,5.9,0.0,0,26.764802985495
2017,8,22,3,2017-08-22,22,0,22,134,0,88,18,0,18,174,0,127,0,1328,684,5,0,47,171,13,9,3,0,45,80,5,97,4,0,13,15,18,8,32,10,70.5,1017.4,6.4,10.6,0.0,0,25.637545524691358
2017,8,23,4,2017-08-23,20,0,20,116,0,80,33,0,32,169,0,131,0,1200,629,4,0,34,160,8,7,9,1,44,56,2,96,11,0,10,12,23,7,23,11,72.3,1009.1,6.3,12.4,0.0,0,26.851417989417989
2017,8,24,5,2017-08-24,20,0,20,152,1,95,29,0,28,201,1,141,1,1229,630,4,0,33,154,9,10,1,2,41,72,8,95,9,0,7,15,20,8,34,13,70.0,1011.9,10.0,5.6,0.0,0,25.918469393004116
