month_date,month,year,earliest_timestamp,occurences
May 22,5,2022,2022-05-01T00:00:00,9463
Jun 22,6,2022,2022-06-01T00:00:00,9478
Jul 22,7,2022,2022-07-01T00:00:00,8884
Aug 22,8,2022,2022-08-01T00:00:00,8923
Sep 22,9,2022,2022-09-01T00:00:00,8884
Oct 22,10,2022,2022-10-01T00:00:00,8959
Nov 22,11,2022,2022-11-01T00:00:00,8183
Dec 22,12,2022,2022-12-01T00:00:00,8390
Jan 23,1,2023,2023-01-01T00:00:00,7414
Feb 23,2,2023,2023-02-01T00:00:00,6878
Mar 23,3,2023,2023-03-01T00:00:00,8166
Apr 23,4,2023,2023-04-01T00:00:00,7765
May 23,5,2023,2023-05-01T00:00:00,8986
Jun 23,6,2023,2023-06-01T00:00:00,8180
Jul 23,7,2023,2023-07-01T00:00:00,8233
Aug 23,8,2023,2023-08-01T00:00:00,7999
Sep 23,9,2023,2023-09-01T00:00:00,8265
Oct 23,10,2023,2023-10-01T00:00:00,8598
Nov 23,11,2023,2023-11-01T00:00:00,3179
