date,avg_speed_all,avg_speed_i87,min_speed_all,min_speed_i87,max_speed_all,max_speed_i87
2022-05-19,27.652426146384478,0.0,0.0,0.0,72.07,0.0
2018-05-22,34.226107820058459,47.6873867595819,0.0,0.0,72.07,65.86
2019-05-22,32.341612261249388,45.982708333333377,0.0,18.64,72.07,68.35
2019-06-01,36.5347675548852,51.065294117647092,0.0,9.32,72.07,69.59
2021-06-16,32.429499855114457,0.0,0.0,0.0,72.07,0.0
2019-06-18,31.280425885697429,46.058333333333337,0.0,20.5,72.07,68.97
2020-06-20,41.376332249986682,0.0,0.0,0.0,72.07,0.0
2019-07-02,34.34533187818861,48.593819444444428,0.0,0.0,72.07,72.07
2019-07-21,36.983597726391942,0.0,0.0,0.0,72.07,0.0
2020-08-06,35.946817698079073,0.0,0.0,0.0,72.07,0.0
2020-08-16,41.895986954496038,0.0,0.0,0.0,72.07,0.0
2018-09-04,34.435046011872359,52.106411149825796,0.0,0.0,72.07,67.1
2020-10-12,37.517018797853126,0.0,0.0,0.0,72.07,0.0
2021-10-12,33.7914497677505,0.0,0.0,0.0,72.07,0.0
2021-10-22,32.872212351133307,0.0,0.0,0.0,72.07,0.0
2019-10-29,34.377877727929437,0.0,0.0,0.0,72.07,0.0
2018-10-30,31.812618861622177,51.747927272727253,0.0,0.0,72.07,67.1
2020-10-30,36.411864331109825,0.0,0.0,0.0,72.07,0.0
2017-11-05,25.054591407407408,57.802399999999977,0.0,35.41,72.07,67.72
2019-11-06,33.35142975310189,0.0,0.0,0.0,72.07,0.0
2020-11-27,43.66346153846154,0.0,0.0,0.0,72.07,0.0
2018-12-04,33.613160041300979,53.169407665505204,0.0,0.0,72.07,66.48
2020-12-24,37.640921431737588,0.0,0.0,0.0,72.07,0.0
2020-01-06,37.611893727123565,54.098245614035079,0.0,12.42,73.32,64.62
2019-01-09,36.017747884462047,52.652152777777793,0.0,8.69,73.32,66.48
2018-01-14,35.305911954577276,55.698541666666692,0.0,0.0,73.32,69.59
2019-01-20,39.871089723607646,58.512587412587429,0.0,49.7,73.32,63.37
2020-01-26,40.697747338129496,58.886,0.0,31.68,73.32,65.86
2022-01-30,31.047471654676258,0.0,0.0,0.0,73.32,0.0
2020-01-31,37.222999679031595,56.144331210191091,0.0,10.56,73.32,66.48
2021-02-04,36.219760322475217,0.0,0.0,0.0,73.32,0.0
2018-03-11,38.500860912827164,58.37445652173912,0.0,34.17,73.32,66.48
2018-03-25,37.78182912793271,59.792709163346636,0.0,48.46,73.32,68.35
2019-03-27,34.948902216023555,45.163012552301282,0.0,0.0,73.32,66.48
2022-04-14,30.54163689497717,0.0,0.0,0.0,73.32,0.0
2020-04-21,43.321517664663062,61.318298611111125,0.0,0.0,73.32,68.97
2018-04-27,33.628774474443524,51.916111111111121,0.0,19.26,73.32,65.86
2019-05-13,32.892292033040235,49.632949640287755,0.0,0.0,73.32,68.97
2019-05-15,33.300004609053495,46.879511111111128,0.0,0.0,73.32,69.59
2019-06-08,34.826548252181546,55.411916376306614,0.0,0.0,73.32,70.21
2021-06-08,32.872109928104933,0.0,0.0,0.0,73.32,0.0
2020-06-10,40.701599973931181,0.0,0.0,0.0,73.32,0.0
2021-06-12,30.945235224741186,0.0,0.0,0.0,73.32,0.0
2023-06-14,27.82096630642085,50.369685314685313,0.0,9.32,73.32,68.97
2023-06-17,28.575605816297148,51.745555555555541,0.0,12.42,73.32,68.97
2019-06-27,29.959069900886803,45.044225352112662,0.0,19.26,73.32,67.1
2020-07-20,37.631618536783769,0.0,0.0,0.0,73.32,0.0
2020-07-22,35.918969953755138,0.0,0.0,0.0,73.32,0.0
2019-08-01,31.212292792097546,0.0,0.0,0.0,73.32,0.0
2019-08-18,34.073667678534676,0.0,0.0,0.0,73.32,0.0
2020-08-27,37.182035861631228,0.0,0.0,0.0,73.32,0.0
2021-09-04,34.671683827814938,0.0,0.0,0.0,73.32,0.0
2018-09-13,32.791496423609324,51.519756944444453,0.0,4.34,73.32,65.86
2021-09-15,33.480520457532791,0.0,0.0,0.0,73.32,0.0
2020-09-22,33.679749214542191,0.0,0.0,0.0,73.32,0.0
2020-10-06,36.590637003563046,0.0,0.0,0.0,73.32,0.0
2021-10-18,34.550268146796434,0.0,0.0,0.0,73.32,0.0
2022-10-19,32.867744335664334,54.405034965034965,0.0,9.32,73.32,66.48
2020-10-27,37.389134282102518,0.0,0.0,0.0,73.32,0.0
2020-11-14,37.124464182780486,0.0,0.0,0.0,73.32,0.0
2023-12-01,28.948239247691394,49.340208333333287,0.0,13.04,73.32,66.48
2021-12-15,34.104381194029848,0.0,0.0,0.0,73.32,0.0
2021-12-17,34.299704881889767,0.0,0.0,0.0,73.32,0.0
2020-12-23,35.163777731016651,0.0,0.0,0.0,73.32,0.0
2021-01-21,36.869979962788037,0.0,0.0,0.0,93.82,0.0
2022-03-07,32.077571102661594,0.0,0.0,0.0,93.82,0.0
2022-05-16,32.8934707957257,0.0,0.0,0.0,93.82,0.0
2020-05-24,41.432129896165314,0.0,0.0,0.0,93.82,0.0
2019-06-06,32.271525812520942,55.32951388888889,0.0,0.0,93.82,70.83
2021-07-12,34.483677340295166,0.0,0.0,0.0,93.82,0.0
2020-09-02,38.5618482748076,0.0,0.0,0.0,93.82,0.0
2019-12-04,34.861610629863456,0.0,0.0,0.0,93.82,0.0
2019-11-07,33.026645937712431,0.0,0.0,0.0,115.57,0.0
2023-05-13,28.271312661802778,51.800960854092537,0.0,0.0,88.23,68.35
2022-06-13,37.026287310016478,53.382441860465121,0.0,15.53,88.23,66.48
2021-06-18,32.714899668704717,0.0,0.0,0.0,88.23,0.0
2023-07-29,28.457272323164972,56.906666666666652,0.0,24.23,88.23,67.1
2019-08-29,32.622209470636889,0.0,0.0,0.0,88.23,0.0
2021-09-21,34.182285635587384,0.0,0.0,0.0,88.23,0.0
2023-09-23,28.718848856452968,54.365208333333349,0.0,0.0,88.23,65.24
2020-09-25,34.974505788067674,0.0,0.0,0.0,88.23,0.0
2023-10-10,26.279603075077695,47.787638888888871,0.0,0.0,88.23,66.48
2018-10-26,33.440645363736209,51.742264808362393,0.0,6.83,88.23,67.72
2021-09-01,33.340279664912906,0.0,0.0,0.0,108.73,0.0
2021-10-19,33.752089447742804,0.0,0.0,0.0,108.73,0.0
2020-10-09,33.659323047054613,0.0,0.0,0.0,109.98,0.0
2023-03-04,33.113004640040991,58.050940766550539,0.0,0.0,66.48,65.24
2022-04-15,27.11410523076923,0.0,0.0,0.0,66.48,0.0
2017-08-11,23.90281917211329,44.941078431372574,0.0,0.0,66.48,66.48
2022-08-30,30.181732436974791,51.569159663865527,0.0,9.32,66.48,60.89
2022-09-20,31.930132915173239,57.293425925925924,0.0,38.52,66.48,60.27
2019-09-27,34.41308760876862,0.0,0.0,0.0,66.48,0.0
2019-11-01,33.313177930068534,0.0,0.0,0.0,66.48,0.0
2018-11-03,35.516182966126117,54.232125435540055,0.0,13.67,66.48,63.37
2019-11-19,36.112692233756249,0.0,0.0,0.0,66.48,0.0
2023-11-29,27.534947429597928,57.181741935483892,0.0,41.01,66.48,62.75
2021-01-27,36.213756809684888,0.0,0.0,0.0,81.39,0.0
2021-02-05,35.706310769706654,0.0,0.0,0.0,81.39,0.0
2022-04-03,34.73017811320755,0.0,0.0,0.0,81.39,0.0
2022-04-11,31.812578841698841,0.0,0.0,0.0,81.39,0.0
2020-05-20,40.767624419376247,0.0,0.0,0.0,81.39,0.0
2018-05-29,33.768984872196143,48.479894366197186,0.0,12.42,81.39,66.48
2022-06-28,28.600357424071991,57.916214285714283,0.0,18.64,81.39,67.1
2022-06-29,28.234844460463567,54.15514084507042,0.0,7.45,81.39,68.35
2021-07-08,32.446684045881128,0.0,0.0,0.0,81.39,0.0
2021-07-15,32.087721548267709,0.0,0.0,0.0,81.39,0.0
2020-07-30,38.44515496911847,0.0,0.0,0.0,81.39,0.0
2020-08-05,34.480478739979034,0.0,0.0,0.0,81.39,0.0
2020-08-23,41.274281157069481,0.0,0.0,0.0,81.39,0.0
2020-09-20,39.98469076919023,0.0,0.0,0.0,81.39,0.0
2023-10-24,29.757157641790229,52.592552447552464,0.0,8.69,81.39,67.1
2021-12-06,33.053390476190479,0.0,0.0,0.0,81.39,0.0
2022-01-18,36.550352842105262,0.0,0.0,0.0,82.64,0.0
2021-01-23,39.812885757935831,0.0,0.0,0.0,82.64,0.0
2021-01-25,37.623406420740636,0.0,0.0,0.0,82.64,0.0
2019-02-04,32.6583,51.5917791411043,0.0,0.0,82.64,67.1
2021-02-21,41.1659067344149,0.0,0.0,0.0,82.64,0.0
2019-02-28,32.016415810399131,51.6127526132404,0.0,10.56,82.64,64.0
2020-03-24,45.846337478602358,63.306771929824556,0.0,57.16,82.64,68.35
2022-04-30,30.676378141534393,0.0,0.0,0.0,82.64,0.0
2019-05-20,33.060516957439141,44.304479166666667,0.0,9.32,82.64,65.86
2020-05-22,39.662207522303326,0.0,0.0,0.0,82.64,0.0
2019-05-26,37.150847826086959,51.146413043478248,0.0,8.69,82.64,70.83
2021-06-01,34.534422452371821,0.0,0.0,0.0,82.64,0.0
2019-06-10,34.061497233569469,49.037986111111096,0.0,13.04,82.64,68.97
2022-06-22,28.511477288648528,55.317295373665488,0.0,27.34,82.64,67.72
2020-06-27,40.707890543148608,0.0,0.0,0.0,82.64,0.0
2020-07-19,40.03509037678208,0.0,0.0,0.0,82.64,0.0
2020-07-21,36.299234295026864,0.0,0.0,0.0,82.64,0.0
2023-09-18,25.869413889567888,48.530763888888913,0.0,7.45,82.64,61.51
2019-09-26,34.566574810240574,0.0,0.0,0.0,82.64,0.0
2021-09-29,34.757981439774241,0.0,0.0,0.0,82.64,0.0
